job_id,job_title,salary_usd,salary_currency,company_location,employee_residence,remote_ratio,required_skills,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name,job_title_num,industry_num,company_location_num,employee_residence_num,experience_level_EN,experience_level_EX,experience_level_MI,experience_level_SE,employment_type_CT,employment_type_FL,employment_type_FT,employment_type_PT,company_size_L,company_size_M,company_size_S,education_required_Associate,education_required_Bachelor,education_required_Master,education_required_PhD,skill_python,skill_sql,skill_tensorflow,skill_kubernetes,skill_scala,skill_pytorch,skill_linux,skill_git,skill_java,skill_gcp
AI00001,AI Research Scientist,90376,USD,China,China,50,"Tableau, PyTorch, Kubernetes, Linux, NLP",9,Automotive,2024-10-18,2024-11-07,1076,5.9,Smart Analytics,3,0,3,3,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0
AI00002,AI Software Engineer,61895,USD,Canada,Ireland,100,"Deep Learning, AWS, Mathematics, Python, Docker",1,Media,2024-11-20,2025-01-11,1268,5.2,TechCorp Inc,4,9,2,9,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
AI00003,AI Specialist,152626,USD,Switzerland,South Korea,0,"Kubernetes, Deep Learning, Java, Hadoop, NLP",2,Education,2025-03-18,2025-04-07,1974,9.4,Autonomous Tech,5,2,17,15,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
AI00004,NLP Engineer,80215,USD,India,India,50,"Scala, SQL, Linux, Python",7,Consulting,2024-12-23,2025-02-24,1345,8.6,Future Systems,16,1,8,8,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0
AI00005,AI Consultant,54624,EUR,France,Singapore,100,"MLOps, Java, Tableau, Python",0,Media,2025-04-15,2025-06-23,1989,6.6,Advanced Robotics,1,9,6,14,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
AI00006,AI Architect,123574,EUR,Germany,Germany,50,"Data Visualization, R, SQL, Linux",7,Healthcare,2024-08-31,2024-10-04,819,5.9,Neural Networks Co,0,7,7,7,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
AI00007,Principal Data Scientist,79670,GBP,United Kingdom,United Kingdom,0,"R, Docker, MLOps",3,Gaming,2024-12-29,2025-02-28,1936,6.3,DataVision Ltd,17,5,18,18,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AI00008,NLP Engineer,70640,EUR,France,France,0,"Python, SQL, Computer Vision, Java, Azure",0,Healthcare,2024-06-07,2024-07-01,1286,7.6,Cloud AI Solutions,16,7,6,6,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
AI00009,Data Analyst,160710,USD,Singapore,Singapore,0,"Hadoop, Git, Mathematics, Python",7,Government,2024-11-04,2024-11-24,551,9.3,Quantum Computing Inc,8,6,14,14,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
AI00010,AI Software Engineer,102557,USD,Austria,Austria,0,"MLOps, GCP, Scala, Azure, Linux",5,Government,2024-10-20,2024-11-06,2340,5.8,Cloud AI Solutions,4,6,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
AI00011,Autonomous Systems Engineer,102322,USD,Sweden,Sweden,100,"MLOps, Python, SQL",8,Telecommunications,2025-01-29,2025-03-05,1047,9.9,Smart Analytics,6,13,16,16,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
AI00012,AI Architect,115047,USD,South Korea,South Korea,0,"R, Data Visualization, Python, Azure",15,Manufacturing,2024-07-16,2024-08-19,513,6.8,TechCorp Inc,0,8,15,15,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
AI00013,AI Consultant,124355,EUR,France,France,100,"Tableau, Python, TensorFlow",5,Automotive,2024-12-29,2025-01-27,760,5.2,Predictive Systems,1,0,6,6,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
AI00014,Autonomous Systems Engineer,68760,USD,Norway,Norway,0,"Scala, SQL, Statistics",0,Energy,2024-02-11,2024-02-25,1657,9.1,Cloud AI Solutions,6,3,13,13,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
AI00015,AI Research Scientist,150122,USD,Sweden,Sweden,100,"PyTorch, Python, Data Visualization, GCP",6,Technology,2024-10-02,2024-11-26,1466,9.8,Advanced Robotics,3,12,16,16,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
AI00016,AI Product Manager,78846,GBP,United Kingdom,Israel,0,"Linux, Statistics, Deep Learning",0,Consulting,2024-09-28,2024-10-26,2059,9.6,DataVision Ltd,2,1,18,10,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
AI00017,Principal Data Scientist,59823,USD,India,India,100,"Tableau, NLP, Spark",1,Real Estate,2025-02-06,2025-03-26,1200,5.8,Predictive Systems,17,10,8,8,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AI00018,Machine Learning Engineer,181139,EUR,France,France,100,"MLOps, PyTorch, Azure",15,Real Estate,2024-04-24,2024-06-03,2142,8.7,AI Innovations,14,10,6,6,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
AI00019,Data Engineer,155300,USD,Singapore,Singapore,0,"Git, Hadoop, R, Python, Spark",9,Finance,2024-04-30,2024-05-29,589,8.6,Algorithmic Solutions,9,4,14,14,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
AI00020,Research Scientist,93851,EUR,Netherlands,Germany,100,"Java, Scala, NLP, Docker, Computer Vision",4,Transportation,2024-05-01,2024-07-02,1809,6.7,AI Innovations,18,14,12,7,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
AI00021,Data Engineer,134197,USD,Norway,France,0,"Deep Learning, AWS, Azure",3,Telecommunications,2024-06-21,2024-08-28,969,9.6,AI Innovations,9,13,13,6,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AI00022,Autonomous Systems Engineer,102550,USD,United States,United States,0,"Tableau, Spark, NLP, TensorFlow, PyTorch",2,Automotive,2024-04-23,2024-06-23,625,10.0,Cognitive Computing,6,0,19,19,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
AI00023,ML Ops Engineer,99382,EUR,Germany,Germany,0,"Hadoop, Git, Tableau",7,Automotive,2025-03-13,2025-05-11,1629,6.9,Quantum Computing Inc,13,0,7,7,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
AI00024,AI Product Manager,52167,USD,Austria,Ireland,100,"Git, Hadoop, Docker",4,Telecommunications,2024-06-07,2024-06-24,2298,9.3,Cloud AI Solutions,2,13,1,9,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
AI00025,ML Ops Engineer,53923,USD,China,China,0,"AWS, Azure, Git, SQL, Computer Vision",2,Healthcare,2024-10-27,2024-11-18,1006,7.4,AI Innovations,13,7,3,3,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
AI00026,Robotics Engineer,109779,USD,Israel,Israel,100,"Linux, Git, Tableau, Kubernetes, Data Visualization",6,Government,2024-08-01,2024-10-02,1146,8.8,DataVision Ltd,19,6,10,10,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
AI00027,ML Ops Engineer,80979,USD,Australia,India,50,"Hadoop, Linux, Git, Scala",2,Media,2024-11-18,2025-01-18,2109,7.7,TechCorp Inc,13,9,0,8,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0
AI00028,Data Analyst,52997,USD,Austria,Singapore,0,"Mathematics, Kubernetes, TensorFlow, Tableau, PyTorch",2,Government,2025-01-10,2025-02-20,2101,8.6,Predictive Systems,8,6,1,14,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0
AI00029,Head of AI,42819,USD,Ireland,Ireland,50,"Python, Scala, NLP, Mathematics, Git",0,Healthcare,2024-10-08,2024-11-20,2187,8.6,Cognitive Computing,12,7,9,9,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
